Firefox 1.x|Firefox/1|
Firefox 2.x|Firefox/2|
Firefox|Phoenix|
Firefox|Firebird|
Firefox|BonEcho|
Internet Explorer 5|MSIE5.|
Internet Explorer 6|MSIE6.|
Internet Explorer 7|MSIE7.|
Internet Explorer|MSIE|
Pocket Internet Explorer|MicrosoftPocketInternetExplorer|
Pocket Internet Explorer|MSPIE|
Opera|Opera|
Safari|Safari|
Safari|AppleSyndication|
Camino|Camino|
Netscape|Netscape|
Konqueror|Konqueror|
Lynx|Lynx|
AmigaVoyager|AmigaVoyager|
Vienna|Vienna|
Ensemble2|Ensemble2|
Iceweasel|Iceweasel|
SeaMonkey|SeaMonkey|
Gecko|Gecko/|
Links|Links|
RssReader|rssreader.com|
Radianrss|radianrss|
NewsCopier|NewsCopier|
